Tweet,HatespeechOrNot (Expert 1),HatespeechOrNot (Expert 2),Hatespeech
#Rosenmontag ist abgesagt. #Rapefugees also wieder wie gewohnt ins Schwimmbad gehen!,YES,NO,1
bitte nicht die #Türkei zum #EU-Mitglied machen! #Menschenrechte #Pressefreiheit #Islamisierung,NO,NO,0
Wieso bekommen #rapefugees mehr als unsere Hartz 1 Enpfänger?  #esreicht,NO,NO,1
Den verfluchten #Rapefugees den Krieg erklären! #wasfehlt,NO,YES,1
"War das Wochenende im Ruhrpott unterwegs. Überall schwangere, muslimische Frauen mit einem Rattenschwanz an Kindern #Islamisierung",YES,YES,1
"#Asylanteninvasion Wenn es auf unseren Straßen zu Gewaltausbrüchen kommt - Die Verantwortlichen hierfür, sitzen in der Regierung / Merkel!",NO,NO,0
711 Millionen Menschen leben in #Europa. Ca. 1 Millionen #Flüchtlinge bereiten da Kopfzerbrechen? #Rassisten sprechen von #Islamisierung?!,NO,NO,0
Tja die #SPD will unsere Steuergelder für Flüchtlinge verpassen. #refugees #refugeesNOTwelcome #refugeesgohome #abmerkeln,NO,NO,1
Aber für die Kölner Polizei haben gestiegene Anzeigen nur einen Grund: Frauen seien anzeigefreudiger als noch 0001. #rapefugees,NO,NO,1
"Offenes, freies WLAN im #Sophienhof #Kiel. Mit ein Grund für die Vorfälle von gestern Nachmittag! Zurück nach Kabul mit den #rapefugees!",YES,NO,0
"#UnterdenLinden #Petry fordert bessere Regelung Gesetze für #Asylanten und #Migranten. Richtig, warum wird es nicht getan?",NO,NO,0
Regeln und Gesetze der Einheimischen sind ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,YES,NO,0
"#Blutrache, #Zwangsbekehrung, #Scharia, #Kinderbräute, #Vielehe, #Genitalverstümmelung - kann nicht erkennen, was davon zu uns gehören soll.",YES,NO,1
"Worin liegt der Sinn für die Bierindustrie, die #Islamisierung zu beschleunigen indem sie #Deutsche Biertrinker mit #Glyphosat dezimieren?",NO,NO,0
"Claudia #Roth: Wer Sex-Attacken von Asylanten anprangert, ist ein „geistiger Bruder“ der Täter! Fuck you from Switzerland! #asylanten #Grüne",NO,YES,1
